questionid,zone_name,diffrank,catname,question,answer1,answer2,answer3,right,response
381754,Sports,1,2007 Football,Who had the highest NFL quarterback rating for the 2007 regular season?,Peyton Manning,Tony Romo,Brett Favre,Tom Brady,Tom Brady was one of only three quarterbacks who had a passer rating higher than 100 in 2007.
382743,Sports,2,2007 Football,Who was named the 2007 NFL Defensive Player of the Year?,Patrick Kerney,Albert Haynesworth,Mike Vrabel,Bob Sanders,Bob Sanders was invited to the Pro Bowl for the first time after the 2005 season.
500382,Sports,3,NFL 2012-13,The 2013 NFC Championship game was aired on what network?,CBS,ABC,NBC,Fox,The Seattle Seahawks defeated the San Francisco 49ers in the 2013 NFC Championship game.
502449,Sports,3,NFL 2012-13,On 2012 wild card weekend RG3 tore both his ACL and his LCL in a lose against who?,The Green Bay Packers,The New York Giants,The Chicago Bears,The Seattle Seahawks,The Seahawks defeated the Redskins by 10 in the 2012 wild card playoff.
502450,Sports,3,NFL 2012-13,On the 2012 wild card weekend who made his final appearance at M&T Bank Stadium?,Joe Flacco,Andrew Luck,Rex Ryan,Ray Lewis,Ray Lewis played college football at the University of Miami.
502594,Sports,1,NFL 2012-13,What year did The Meadowlands Giants Stadium close?,2001,2000,1995,2010,"The Meadowlands home to the New York Giants was located in East Rutherford, New Jersey."
502609,Sports,2,NFL 2012-13,"In the same year as ""Spygate"" what award did head coach of the Patriots Bill Belichick receive?",The Raspberry Award,The NFL Cheaters Award,The NFL Sneak Of The Year Award,NFL Coach of the Year Award,Spygate was the 2007 New England Patriots videotaping controversy.
506361,Sports,1,NFL - Seattle Seahawks,"Who said, ""I'm just here so I don't get fined."" about Super Bowl interviews in 2014?",Russell Wilson,Jermaine Kearse,Michael Bennett,Marshawn Lynch,Marshawn Lynch played college football at the University of California.
506365,Sports,2,NFL - Seattle Seahawks,What team scored the most points against the Seahawks in 2013?,Bucs,49ers,Vikings,Colts,In 2013 the Seahawks had a regular season record of 13-3.
510736,Sports,2,NFL - Pittsburgh Steelers,Who became the first team to score 55 points against the Steelers in 2013?,Buffalo Bills,Cincinnati Bengals,Denver Broncos,New England Patriots,The Steelers play their home games at Heinz Field. 
1181,Sports,1,Sports,What sport is a combination of surfing and snowboarding behind a boat?,Surfboarding,Waterboarding,Waveboarding,Wakeboarding,Wakeboarding is a fairly new sport that originated in the 1980's.
2335,Sports,3,Sports,For what track and field event is the hitch kick technique used?,Shotput,High Jump,Pole Vault,Long Jump,Two other long jump techniques are the stride and the hang.
2403,Sports,3,Sports,Who was the first male figure skater to land a triple loop in competition?,Scott Hamilton,Toller Cranston,Robin Cousins,Dick Button,"When Button was eleven, he wanted a pair of skates for Christmas, and got them."
6389,Sports,2,Golf,"Who wrote ""Golf for Dummies""?",Jack Nicklaus,Rodney Dangerfield,Harvey Penick,Gary McCord,Gary McCord has been a golf commentator on CBS.
43454,Sports,2,Soccer,"Who was Real Madrid's ""Blond Arrow"" of the 1950's and 1960's?",Kubala,Puskas,Gento,Di Stefano,"Alfredo Di Stefano was born July 4, 1926 in Barracas, Buenos Aires."
52205,Sports,3,Sports,Japanese archery is called what?,Nage Waza,Kobudo,Kenjutsu,Kyudo,"Kenjutsu is swordplay, Kobudo is the Okinawan art of weaponry and Nage Waza is a throw."
57642,Sports,2,Auto Racing,What speedway ended Bobby Allison's racing career?,Daytona,Watkins Glen,Dover,Pocono,Bobby Allison is a 3-time winner of Daytona 500 and a NASCAR National Champ and proud father of Davey.
62396,Sports,3,Golf,Who was the first father/son duo to play in the same PGA tour event?,Bob And David Duval,Jack And Gary Nicklaus,Jay And Hunter Haas,Al And Brent Geiberger,Al Geiberger was one of the few golfers ever to post a 59 in professional golf competition.
62582,Sports,3,Soccer,Who was the first woman to be inducted into the Soccer Hall of Fame?,Michelle Ackers,Mia Hamm,Brandi Chastain,April Heinrichs,April Heinrichs was the head coach at the University of Virginia in the USA.
71914,Sports,2,Sports,"Who was known as ""The Pottawatomie Giant""?",Jack Dempsey,Luis Firpo,George Foreman,Jess Willard,Jess Willard was considered very large for a heavyweight in his day.
74261,Sports,3,Formula Racing,Which island is the site of the Australian Formula One Grand Prix race?,Hunter Island,Kangaroo Island,French Island,Phillip Island,"Phillip Island, in Westernport Bay, east of Melbourne, is the venue for the annual Australian Formula One Grand Prix race."
83681,Sports,3,Sports,Who did Kabary Salem fight that died in a nationally televised bout?,Emilio Valdez,Bo James,Robby Jones,Randie Carver,Randie Carver was 24 years old when he died.
87961,Sports,3,Sports,"In billiards, what color is the 5 ball?",Blue,Red,Yellow,Orange,"In billiards, a red ball must be sunk between each colored ball."
88329,Sports,2,Sports,What sport did the Pope try to ban in the 15th Century?,Archery,Croquet,Swimming,Bullfighting,"In bullfighting, a veronica is a pass whereby the cape is drawn over the bull's head while the man holds a posture."
88465,Sports,3,Sports,In England they play a game called drafts; what is that game in America?,Backgammon,Monopoly,Hearts,Checkers,Checkers takes 2 players and the object is to capture the other players checkers to make it impossible for them to move.
88490,Sports,2,Golf,What is golfer Jack Nicklaus' nickname?,The Great One,Goldeneye,The Golden Hat,The Golden Bear,"Jack Nicklaus earned his nickname ""The Golden Bear"" because of his prominent mane of blonde hair."
88878,Sports,2,Auto Racing,Who won back-to-back Indy 500's in 1953 and 1954?,Mauri Rose,Wilbur Shaw,Rodger Ward,Bill Vukovich,Bill Vukovich became a racing legend for capturing the AAA National Midget crown and winning two Indy 500 races.
89889,Sports,3,Sports,Before 1980 the record for the high jump was what height?,7 Feet 1/2 Inches,8 Feet 4 Inches,6 Feet 5 Inches,7 Feet 8 1/2 Inches,"In 1993, the high jump record was increased to 8 feet 5 inches by Javier Sotomayor."
96820,Sports,1,Soccer,What is the name of the top soccer league in Germany?,Deutschgamen,Germanliga,Deutschlagen,Bundesliga,Germany's National Bundesliga soccer league was formed in 1963.
104102,Sports,2,Auto Racing,How many miles long is the Indianapolis 500 car race?,1000,100,200,500,The Indianapolis Motor Speedway was built on 328 acres of farmland five miles northwest of Indiana's capital city in the spring of 1909.
119746,Sports,1,Sports,Which sport is Jean-Claude Killy famous for?,Diving,Fencing,Baseball,Skiing,Jean-Claude Killy is a 2-time World Cup Champion (1967-68) who won 3 gold medals at 1968 Olympics in Grenoble.
186906,Sports,1,Soccer,"Who scored the so-called ""Hand of God"" goal in the World Cup of 1986?",Batistuta,Sanchez,Figo,Maradona,"Diego Maradona scored the ""Hand of God"" goal to tie Argentina 1-1 with England in 1986."
186948,Sports,1,Soccer,"In soccer, what is the name of the Mark located inside the Center Circle?",Sideline,Goal Area,Corner Arc,Center Mark,"The name soccer comes from an abbreviation of the sport's official name ""association football""."
218240,Sports,2,Sports,Eskimo roll is a term most commonly used in which sport?,Fencing,Skiing,Water Polo,Canoeing/Kayaking,"The term ""Eskimo Roll"" was named after the Eskimo people who first developed kayaks and the skill of rolling."
227813,Sports,2,Soccer,Which English team plays their home games at Molineux?,Brentford,Birmingham City,Walsall,Wolverhampton Wanderers,"The Wolverhampton Wanderers play in Molineux, Whitmore Reans."
228429,Sports,2,Golf,What is the minimum depth of the hole in professional golf?,Nine Inches,12 Inches,Two Inches,Four Inches,The golf hole must also be four and one-half inches in diameter.
228640,Sports,3,Golf,Which golfer got a double eagle at Augusta in 1994?,Bruce Devlin,Corey Pavin,Willie Goggin,Jeff Maggert,"In 1994, Jeff Maggert became only the third golfer to hit a double eagle at Augusta."
229004,Sports,1,Golf,Who won the U.S. and British Opens in 1982?,Fred Couples,Mark O'Meara,Joe Durant,Tom Watson,Tom Watson is a member of the World Golf Hall of Fame.
229061,Sports,1,Golf,Who became the first Canadian to lead the Order of Merit since 1989?,Rick Acton,Brett Ogle,Isao Aoki,Mike Weir,Royal Shakespeare won the 2005/06 Order of Merit with 87 points.
229117,Sports,2,Golf,"Which golfer is nicknamed ""El Nino""?",Tom Watson,Mark O'Meara,Johnny Miller,Sergio Garcia,"Sergio Garcia, who has been called ""El Nino"" since he was 14 would prefer his nickname to drop from use and to just be called ""Sergio""."
229120,Sports,1,Golf,Who won the British Open in 1973 and was a two-time runner-up at the Masters?,Jim Albus,Butch Baird,Stuart Appleby,Tom Weiskopf,"In the 1970's, Tom Weiskopf was given the nickname ""Towering Inferno"" because of his short temper."
229398,Sports,2,Golf,"Which golfer is nicknamed ""Cinderella""?",Karrie Webb,Sophie Gustafson,Bettye Danoff,Shi Hyun Ahn,Shi Hyun Ahn turned pro in 2002.
230229,Sports,3,Auto Racing,"Who wrote the book ""Lifetime Going Around in Circles""?",Kyle Petty,Dale Earnhardt,Davey Allison,Darrell Waltrip,"Darrell Waltrip came in first in the Winston Cup in 1981, 1982 and 1985."
285131,Sports,1,Golf,What course played host to the 2006 U.S. Open?,Pebble Beach,Baltusrol,Augusta National,Winged Foot,The 2006 U.S. Open was the sixth major and the fifth U.S. Open to be held at Winged Foot.
285143,Sports,3,Golf,What course played host to the 2006 British Open?,Carnoustie,Prestwick,St. Andrews,Royal Liverpool,The 2006 Open represents the first time Liverpool has hosted in 39 years.
288008,Sports,2,Track And Field,Men's world record decathlete Roman Sebrle is from what country?,Romania,Germany,Lithuania,Czech Republic,Roman Sebrle won the gold medal at the Sydney 2004 Olympics in the men's decathlon.
288196,Sports,1,Soccer,What player got three yellow cards in one match during the 2006 World Cup?,Ronaldo,Wayne Rooney,Luis Figo,Josip Simunic,Referee Poll resigned from the 2006 World Cup after handing Josip Simunic 3 yellow cards in a game.
288434,Sports,2,Golf,Golf sensation Tiger Woods left what university to turn pro?,Michigan,UCLA,Arizona,Stanford,Tiger Woods left Stanford University after winning his 3rd U.S. Amateur golf championship.
288799,Sports,3,Golf,Who's the fastest player in the LPGA to reach the $3 million mark in earnings?,Karrie Webb,Pat Hurst,Jeong Jang,Lorena Ochoa,Lorena Ochoa birdied 6 of 7 holes in the Wegmans Rochester pushing her to the $3 million mark.
288800,Sports,1,Golf,Who was the first Mexican born player to win the LGPA Tour?,Karrie Webb,Cristie Kerr,Pat Hurst,Lorena Ochoa,"In 2004, Lorena Ochoa won the LPGA at the Franklin American Mortgage Championship."
289249,Sports,1,Soccer,What award is given to the top goal scorer at the World Cup?,Lev Yashin Award,Golden Ball,Jules Rimet Cup,Golden Shoe,German Miroslav Klose took the Golden Shoe at the 2006 World Cup with five goals.
293310,Sports,1,Soccer,What country hosted the 1990 World Cup?,Mexico,Spain,Greece,Italy,West Germany won the 1990 World Cup by defeating Argentina 1-0.
324587,Sports,2,NASCAR,What second-year NASCAR driver won the 2007 NASCAR Nextel Open?,Dale Earnhardt Jr.,Clint Bowyer,Johnny Sauter,Martin Truex Jr.,Martin Truex's 2007 All-Star victory was his first Nextel Cup race win.
326196,Sports,1,Soccer,What position does soccer player Ronaldo play?,Midfielder,Defender,Goalkeeper,Forward,Ronaldo was named by Pele as one of the 125 greatest footballers in March 2004.
326205,Sports,1,Soccer,"In 2005, soccer great Ronaldo became co-owner of what international racing team?",A1 Team Italy,A1 Team France,A1 Team Mexico,A1 Team Brazil,"In 2005, Ronaldo became co-owner, with motorsports legend Emerson Fittipaldi, of the A1 Team Brazil racing team. "
326209,Sports,3,Soccer,Where was soccer player Freddy Adu born?,Brazil,Cuba,Liberia,Ghana,"When soccer's Freddy Adu was eight, his mother won the Green Card Lottery, and his family moved from Ghana to Washington, D.C."
326212,Sports,2,Soccer,What professional soccer club did Freddy Adu first play for?,Real Salt Lake,Colorado Rapids,LA Galaxy,D.C. United,"On December 11, 2006, D.C. United traded Freddie Adu to Real Salt Lake. "
326226,Sports,2,Soccer,"Which soccer player is nicknamed the ""Czech Cannon""?",Luis Figo,Raul Gonzalez Blanco,Trifon Ivanov,Pavel Nedved,Pavel Nedved was awarded the Golden Ball as the top European footballer for the 2002-03 season. 
326249,Sports,1,Golf,Jose Maria Olazabal was born in which country?,Mexico,Great Britain,United States,Spain,"Jose Maria Olazabal was born in Gipuzkoa, Spain in 1966."
326344,Sports,2,Golf,Who taught Sergio Garcia to play golf?,His Mother,Davis Love III,Stephen King,His Father,Sergio Garcia's father started him golfing at the age of 3.
326440,Sports,1,Golf,Where was golf's Vijay Singh born?,Nepal,Thailand,Indonesia,Fiji,Golf's Vijay Singh was born in Fiji in 1963.
326461,Sports,2,Golf,Where did golfer Vijay Singh buy an island?,California,Puerto Rico,Maine,Dubai,Vijay Singh was the second man to win more than $50 million on the PGA Tour.
326664,Sports,2,Golf,Who won the 2006 LPGA Rolex Player of the Year Award?,Se Ri Pak,Annika Sorenstam,Karrie Webb,Lorena Ochoa,Lorena Ochoa won the LPGA Rolex Player of the Year Award in just her fourth year on the tour.
347584,Sports,2,Golf,"Held at Sawgrass, which 2007 PGA Tour event was won by Phil Mickelson?",The Masters,The Open Championship,The U.S. Open,The Players Championship,"The Players Championship, first held in 1974 at the Atlanta Country Club in Marietta, Georgia, was contested for the 34th time in 2007."
347596,Sports,2,Soccer,Soccer's 126th FA Challenge Cup Final was the first to be held at which stadium?,Abbey Stadium,Nene Park,Glassworld Stadium,Wembley Stadium,The new Wembley Stadium was designed by HOK Sport and Foster and Partners.
401871,Sports,2,Tour de France,"What French cyclist is nicknamed ""The Badger""?",Greg LeMond,Brian Adkins,Hugh Wrigley,Bernard Hinault,Cyclist Bernard Hinault retired after the 1986 Tour de France.
401909,Sports,2,Tour de France,Who held the record in 2007 for participating in the most Tour de France races?,Lance Armstrong,Laurent Fignon,Greg LeMond,Joop Zoetemelk,Joop Zoetemelk competed in 16 Tour de France races between 1970 and 1986 and finished them all.
407014,Sports,2,Athletes Gone Bad,What team was Scottie Pippen playing with when he was arrested for DWI?,Chicago Bulls,Miami Heat,New York Knicks,Houston Rockets,Houston Rocket Scottie Pippen was arrested in Houston on suspicion of drunk driving after running a red light. 
411086,Sports,1,Sports World Records,What Jamaican runner set three new world records in the 2008 Olympics?,Asafa Powell,Justin Gatlin,Ube Guanto,Usain Bolt,"Usain Bolt set world records in the 100m, 200m and 4x100m relays."
13573,Sports,1,Hockey,"Which Russian hockey player was know as ""The Tank""?",Valeri Kharlamov,Sergei Makarov,Valeri Vasliliev,Vladimir Krutov,"Vladimir Krutov at 5'8` and 200lbs was known as ""The Tank""."
232243,Sports,1,Hockey,What team did Wayne Gretzky become a managing partner of in 2000?,Detroit Red Wings,Florida Panthers,New York Rangers,Phoenix Coyotes,"Wayne Gretzky was inducted into the Hockey Hall of Fame on November 22, 1999, becoming the tenth player to bypass the 3-year waiting period."
286959,Sports,2,NHL - Calgary Flames,Who scored the most goals for the Calgary Flames in the 2005-06 season?,Chuck Kobasew,Daymond Langkow,Dion Phaneuf,Jarome Iginla,"Jarome Iginla had the most goals in 2005-06 for the Flames, with 35 goals and 32 assists."
287223,Sports,3,NHL - Colorado Avalanche,How many overtime wins did the Colorado Avalanche have in the 2005-06 season?,Five,Four,Three,Six,"The Avalanche won six games in overtime in 2005-06, three of which were won in a shootout."
287721,Sports,2,NHL - San Jose Sharks,How many teams did the San Jose Sharks shut out during the 2005-06 season?,Three,Two,Five,Five,"The Sharks won by a shutout five times in 2005-06, blanking Anaheim, Buffalo, Ottawa, St. Louis and L.A."
27449,Sports,1,Olympics,"Who said, ""I didn't lose the gold, I won the silver""?",Oksana Baiul,Elvis Stojko,Brian Orser,Michelle Kwan,"Michelle Kwan said ""I didn't lose the gold, I won the silver"" after the 1998 Olympics."
27457,Sports,1,Olympics,Which figure skater performed an illegal move at the 1998 Olympics?,Meno And Sand,Elvis Stojko,Michelle Kwan,Surya Bonaly,Surya Bonaly performed an illegal back flip in her figure skating long program at the 1998 Olympics.
87883,Sports,3,Olympics,What is the weight of a man's Olympic discus?,1 Kilogram,5 Kilograms,20 Kilograms,2 Kilograms,"Originally made of stone, later discuses were made of bronze, iron, or lead."
192436,Sports,3,Olympics,At which venue did boxing take place at the 2000 Olympic games in Sydney?,Homebush Bay,Festival Hall,Parramatta,Darling Harbour,"All of Sydney, including Schools and Universities stopped, to watch as 10,200 athletes from 200 countries participated in 28 sports."
227994,Sports,3,Olympics,Who is the athlete who was banned for life from the Olympics in 2004?,Dick Pound,Giselle Davies,Remi Korchemny,Dwain Chambers,Dwain Chambers was banned from the Olympics after testing positive for the steroid THG.
244049,Sports,1,Olympics,In what year were the first winter Olympic games held in France?,1929,1923,1942,1924,The first Winter Olympics were held at the foot of Mont Blanc.
270508,Sports,3,Olympic Track And Field,"At the 2004 Olympics, DeeDee Trotter competed in which sport for the USA?",Judo,Soccer,Diving,Track and Field,"In 1972, American swimmer Mark Spitz set the record for the most gold medals awarded to a single athlete during one Olympic Game period."
270520,Sports,2,Olympics,"At the 2004 Olympics, Misty May competed in which sport for the USA?",Sailing,Swimming,Judo,Beach Volleyball,Misty May and Kerri Walsh won the 2004 gold medal in Beach Volleyball.
339994,Sports,2,Barcelona 1992 Summer Olympics,Who won the baseball gold in its debut at the 1992 Summer Olympics?,Chinese Taipei,Japan,United States,Cuba,Eight nations competed in baseball at the 1992 Barcelona Summer Olympics.
340058,Sports,3,Olympic Swimming,Kirsty Coventry won the swimming gold medal in what 2004 Olympic event?,200 M Butterfly,200 M Individual Medley,100 M Backstroke,200 M Backstroke,"In 2004, Kirsty Coventry won the first swimming gold medal for Zimbabwe as well as winning a silver and a bronze."
340082,Sports,3,Athens 2004 Summer Olympics,Who was the only American to win a boxing medal at the 2004 Summer Olympics?,Vicente Escobedo,Andre Dirrell,Devin Vargas,Andre Ward,"In 2004, boxer Andre Ward won an Olympic gold for light heavyweight and a bronze for middleweight."
411170,Sports,3,2008 China Olympics,Australian swimmer Leisel Jones won a silver medal in which event of the 2008 Olympics?,100m Breaststroke,100m Butterfly,200m Freestyle,200m Breaststroke,Australian swimmer Leisel Jones participated in the Sydney 2000 Olympics at just 15 years of age.
256861,Sports,2,Tennis,Who beat Goran Ivanisevic to win the 1994 Wimbledon Singles Championship?,Andre Agassi,Richard Krajicek,Jean Borotra,Pete Sampras,"Goran Ivanisevic, winner of the 1994 Wimbledon Gentlemen's Singles Championship, turned pro in 1988 at the age of 17."
257669,Sports,2,Tennis,What country is ladies tennis pro Katarina Srebotnik from?,China,Russia,Israel,Slovenia,"Right-handed tennis pro Katarina Srebotnik was born March 12, 1981, in Slovenj Gradec, Slovenia."
257670,Sports,2,Tennis,Lady tennis pro Karolina Sprem represents which country?,Russia,India,Serbia-Montenegro,Croatia,"Karolina Sprem won five ITF Women's Circuit titles, with a 52-14 win-loss record during the 2003 season."
257779,Sports,3,Tennis,Tennis pro Wayne Black comes from which country?,Spain,France,Austria,Zimbabwe,Wayne Black comes from a family of successful tennis players.
257798,Sports,1,Andre Agassi,Tennis pro Andre Agassi comes from which country?,Argentina,Romania,Spain,United States,"When he retired in 2006, Andre Agassi had won his only Wimbledon title in 1992 over Goran Ivanisevic."
287932,Sports,3,Roger Federer,In which European city did Roger Federer win his first singles title?,Paris,London,Prauge,Milan,"Roger Federer was born in Basel, Switzerland."
288670,Sports,2,Tennis,What are Venus William's middle names?,Eliza Sophie,Emma Star,Ebony Samantha,Ebony Star,Venus Williams is coached by her father Richard.
327691,Sports,3,Rafael Nadal,"In 2006, Rafael Nadal broke whose clay court winning streak record in tennis?",Carlos Moya,Bjorn Borg,Ivan Lendl,Guillermo Villas,Guillermo Villas thought Rafael Nadal's clay court winning streak was unimpressive as it took place over two years.
328509,Sports,1,Martina Navratilova,"In 2004, Martina Navratilova won an opening-round match at which Grand Slam?",French Open,U.S. Open,Australian Open,Wimbledon,At 47 years and 8 months Martina Navratilova won a singles match at Wimbledon in straight sets.
400901,Sports,3,Tennis,Traditionally Wimbledon events are held two weeks after what?,Christmas,Master's Tournament,The Olympics,Queen's Club Championship,The Queen's Club Championships are considered to be the major warm up for Wimbledon's male tennis players.
400944,Sports,1,Novak Djokovic,Who did Novak Djokovic lose to at the 2007 French Open in tennis?,Andy Murray,Pete Sampras,David Ferrer,Rafael Nadal,"At the 2007 French Open, Novak Djokovic reached a Grand Slam semifinal for the first time in his tennis career."
400950,Sports,1,Tennis,When was the first Wimbledon event held?,1801,1977,1957,1877,Wimbledon is the only Grand Slam tennis event without a fixed date.
401029,Sports,2,Tennis,What trophy would a winner of the ladies' singles division at Wimbledon receive?,Wedgewood Crown,Astoria Dish,Kent Trophy,Rosewater Dish,Trophies at Wimbledon are typically awarded by the Duke and Duchess of Kent.
